"Timestamp","Username","เพศ","ช่วงอายุ","สถานภาพ","ท่านใช้แอปพลิเคชันใดบ้างเป็นประจำ?","ท่านใช้สมาร์ทโฟนในการทำอะไรมากที่สุด","ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน","สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร","ปัจจัยที่พิจารณาเมื่อซื้อสมาร์ทโฟนออนไลน์มากที่สุด","ความพึงพอใจจากการซื้อสมาร์ทโฟนออนไลน์ครั้งล่าสุด","ปัญหาในการซื้อสมาร์ทโฟนออนไลน์","ปัจจุบันท่านใช้สมาร์ทโฟนรุ่นใด"
"2024/02/22 10:47:15 am GMT+7","","หญิง","26-32","บุคคลทั่วไป","","คุยธุรกิจ / ทำงาน","3 - 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 10:47:43 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 10:48:11 am GMT+7","","ชาย","18-25","บุคคลทั่วไป","","ดูหนัง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 10:48:28 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมาก","","","","XIAOMI"
"2024/02/22 10:48:50 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 10:49:08 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 10:54:30 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 10:57:19 am GMT+7","","ชาย","18-25","บุคคลทั่วไป","","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:30:36 am GMT+7","","หญิง","41-50","อาจารย์","TikTok","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:39:27 am GMT+7","","ชาย","18-25","บุคคลทั่วไป","Instagram","ดูหนัง","0 - 1 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:40:04 am GMT+7","","หญิง","18-25","บุคคลทั่วไป","Instagram","ดูหนัง","0 - 1 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:40:12 am GMT+7","","หญิง","18-25","บุคคลทั่วไป","Instagram","ดูหนัง","0 - 1 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:40:44 am GMT+7","","หญิง","18-25","บุคคลทั่วไป","Instagram","ดูหนัง","0 - 1 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:41:17 am GMT+7","","หญิง","18-25","บุคคลทั่วไป","TikTok","ช็อปปิ้ง","0 - 1 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:42:35 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:42:59 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:43:16 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:43:25 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:43:42 am GMT+7","","หญิง","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:45:29 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:01 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:13 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:20 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:27 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:32 am GMT+7","","ชาย","26-32","บุคคลทั่วไป","Facebook Messenger","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:46:57 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:47:13 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:47:24 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:47:32 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:47:39 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:47:47 am GMT+7","","ชาย","18-25","นักเรียน / นักศึกษา","Instagram","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","XIAOMI"
"2024/02/22 11:48:38 am GMT+7","","Lgbtq+","18-25","นักเรียน / นักศึกษา","Instagram","ถ่ายรูป ถ่ายวีดีโอ","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:48:45 am GMT+7","","Lgbtq+","18-25","นักเรียน / นักศึกษา","Instagram","ถ่ายรูป ถ่ายวีดีโอ","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:48:51 am GMT+7","","Lgbtq+","18-25","นักเรียน / นักศึกษา","Instagram","ถ่ายรูป ถ่ายวีดีโอ","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:48:57 am GMT+7","","Lgbtq+","18-25","นักเรียน / นักศึกษา","Instagram","ถ่ายรูป ถ่ายวีดีโอ","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:49:03 am GMT+7","","Lgbtq+","18-25","นักเรียน / นักศึกษา","Instagram","ถ่ายรูป ถ่ายวีดีโอ","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Apple"
"2024/02/22 11:49:26 am GMT+7","","Lgbtq+","26-32","บุคคลทั่วไป","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:49:32 am GMT+7","","Lgbtq+","26-32","บุคคลทั่วไป","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/02/22 11:49:38 am GMT+7","","Lgbtq+","26-32","บุคคลทั่วไป","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","","","","Samsung"
"2024/03/04 12:05:40 am GMT+7","tasuke567@gmail.com","ชาย","18-25","นักเรียน / นักศึกษา","Facebook","ช็อปปิ้ง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","ราคา","5","ไม่สามารถสัมผัสหรือลองสินค้าได้จริง","Apple"
"2024/03/04 12:06:14 am GMT+7","645021001153@mail.rmutk.ac.th","ชาย","18-25","นักเรียน / นักศึกษา","Facebook","ช็อปปิ้ง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","ราคา","5","ไม่สามารถสัมผัสหรือลองสินค้าได้จริง","Apple"
"2024/03/04 12:27:36 am GMT+7","1@1.com","ชาย","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","รีวิวสินค้า","3","ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน","Apple"
"2024/03/04 12:27:57 am GMT+7","1@1.com","ชาย","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","ฟีเจอร์สินค้า","3","ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง","Apple"
"2024/03/04 12:28:16 am GMT+7","1@1.com","ชาย","18-25","นักเรียน / นักศึกษา","TikTok","ดูสื่อบันเทิง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","รีวิวสินค้า","3","ความล่าช้าในการจัดส่งหรือปัญหาในการจัดส่ง","Apple"
"2024/03/04 1:12:12 pm GMT+7","645021000973@mail.rmutk.ac.th","หญิง","18-25","นักเรียน / นักศึกษา","X","ดูหนัง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","ฟีเจอร์สินค้า","3","ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน","Apple"
"2024/03/04 1:15:53 pm GMT+7","645021000015@mail.rmutk.ac.th","ชาย","18-25","นักเรียน / นักศึกษา","Facebook Messenger","คุยธุรกิจ / ทำงาน","1 - 3 ชั่วโมง","สำคัญมาก","ฟีเจอร์สินค้า","4","ไม่สามารถสัมผัสหรือลองสินค้าได้จริง","Apple"
"2024/03/04 7:36:35 pm GMT+7","ytdtv3939@gmail.com","หญิง","18-25","นักเรียน / นักศึกษา","Spotify","ฟังเพลง","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","ราคา","5","ความกังวลเกี่ยวกับความปลอดภัยของการชำระเงิน","Apple"
